Year,Name,DOB,Sex,Category,Motivation,Birth Country,Affiliation,Affiliation Place
2014,William E. Moerner,6/24/1953,Male,Chemistry, for the development of super-resolved fluorescence microscopy ,United States of America,Stanford University,"Stanford, CA, United States of America"
2013,Arieh Warshel,11/20/1940,Male,Chemistry, for the development of multiscale models for complex chemical systems ,Israel,University of Southern California,"Los Angeles, CA, United States of America"
2013,Martin Karplus,3/15/1930,Male,Chemistry, for the development of multiscale models for complex chemical systems ,Austria,UniversitâˆšÂ© de Strasbourg,"Strasbourg, France"
2013,Michael Levitt,9/5/1947,Male,Chemistry, for the development of multiscale models for complex chemical systems ,South Africa,Stanford University,"Stanford, CA, United States of America"
2012,Brian K. Kobilka,5/30/1955,Male,Chemistry, for studies of G-protein-coupled receptors ,United States of America,Stanford University,"Stanford, CA, United States of America"
2012,Robert J. Lefkowitz,4/15/1943,Male,Chemistry, for studies of G-protein-coupled receptors ,United States of America,Howard Hughes Medical Institute,"Chevy Chase, United States of America"
2011,Dan Shechtman,1/24/1941,Male,Chemistry, for the discovery of quasicrystals ,Israel,Technion - Israel Institute of Technology,"Haifa, Israel"
2010,Akira Suzuki,12/9/1930,Male,Chemistry, for palladium-catalyzed cross couplings in organic synthesis ,Japan,Hokkaido University,"Sapporo, Japan"
2010,Ei-ichi Negishi,7/14/1935,Male,Chemistry, for palladium-catalyzed cross couplings in organic synthesis ,China,Purdue University,"West Lafayette, IN, United States of America"
2010,Richard F. Heck,8/15/1931,Male,Chemistry, for palladium-catalyzed cross couplings in organic synthesis ,United States of America,University of Delaware, United States of America
2009,Ada E. Yonath,6/22/1939,Female,Chemistry, for studies of the structure and function of the ribosome ,Israel,Weizmann Institute of Science,"Rehovot, Israel"
2009,Thomas A. Steitz,8/23/1940,Male,Chemistry, for studies of the structure and function of the ribosome ,United States of America,Yale University,"New Haven, CT, United States of America"
2009,Venkatraman Ramakrishnan,2/7/1952,Male,Chemistry, for studies of the structure and function of the ribosome ,India,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
2008,Martin Chalfie,1/15/1947,Male,Chemistry," for the discovery and development of the green fluorescent protein, GFP ",United States of America,Columbia University,"New York, NY, United States of America"
2008,Osamu Shimomura,8/27/1928,Male,Chemistry," for the discovery and development of the green fluorescent protein, GFP ",Japan,Marine Biological Laboratory (MBL),"Woods Hole, MA, United States of America"
2008,Roger Y. Tsien,1/2/1952,Male,Chemistry," for the discovery and development of the green fluorescent protein, GFP ",United States of America,University of California,"San Diego, CA, United States of America"
2007,Gerhard Ertl,10/10/1936,Male,Chemistry, for his studies of chemical processes on solid surfaces ,Germany,Fritz-Haber-Institut der Max-Planck-Gesellschaft,"Berlin, Germany"
2006,Roger D. Kornberg,4/24/1947,Male,Chemistry, for his studies of the molecular basis of eukaryotic transcription ,United States of America,Stanford University,"Stanford, CA, United States of America"
2005,Richard R. Schrock,4/1/1945,Male,Chemistry, for the development of the metathesis method in organic synthesis ,United States of America,Massachusetts Institute of Technology (MIT),"Cambridge, MA, United States of America"
2005,Robert H. Grubbs,2/27/1942,Male,Chemistry, for the development of the metathesis method in organic synthesis ,United States of America,California Institute of Technology (Caltech),"Pasadena, CA, United States of America"
2005,Yves Chauvin,10/10/1930,Male,Chemistry, for the development of the metathesis method in organic synthesis ,Belgium,Institut FranâˆšÃŸais du PâˆšÂ©trole,"Rueil-Malmaison, France"
2004,Aaron Ciechanover,1/10/1947,Male,Chemistry, for the discovery of ubiquitin-mediated protein degradation ,Israel,Technion - Israel Institute of Technology,"Haifa, Israel"
2004,Avram Hershko,12/31/1937,Male,Chemistry, for the discovery of ubiquitin-mediated protein degradation ,Hungary,Technion - Israel Institute of Technology,"Haifa, Israel"
2004,Irwin Rose,7/16/1926,Male,Chemistry, for the discovery of ubiquitin-mediated protein degradation ,United States of America,University of California,"Irvine, CA, United States of America"
2003,Peter Agre,1/30/1949,Male,Chemistry, for discoveries concerning channels in cell membranes; for the discovery of water channels ,United States of America,Johns Hopkins University,"Baltimore, MD, United States of America"
2003,Roderick MacKinnon,2/19/1956,Male,Chemistry, for discoveries concerning channels in cell membranes; for structural and mechanistic studies of ion channels ,United States of America,Rockefeller University,"New York, NY, United States of America"
2002,John B. Fenn,6/15/1917,Male,Chemistry, for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules ,United States of America,Virginia Commonwealth University,"Richmond, VA, United States of America"
2002,Koichi Tanaka,3/8/1959,Male,Chemistry, for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules ,Japan,Shimadzu Corp.,"Kyoto, Japan"
2002,Kurt WâˆšÂºthrich,4/10/1938,Male,Chemistry, for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution ,Switzerland,Eidgenâˆšâˆ‚ssische Technische Hochschule (Swiss Federal Institute of Technology),"Zurich, Switzerland"
2001,K. Barry Sharpless,4/28/1941,Male,Chemistry, for his work on chirally catalysed oxidation reactions ,United States of America,The Scripps Research Institute,"La Jolla, CA, United States of America"
2001,Ryoji Noyori,3/9/1938,Male,Chemistry, for their work on chirally catalysed hydrogenation reactions ,Japan,Nagoya University,"Nagoya, Japan"
2001,William S. Knowles,1/6/1917,Male,Chemistry, for their work on chirally catalysed hydrogenation reactions ,United States of America,,"St. Louis, MO, United States of America"
2000,Alan G. MacDiarmid,4/14/1927,Male,Chemistry, for the discovery and development of conductive polymers ,New Zealand,University of Pennsylvania,"Philadelphia, PA, United States of America"
2000,Alan J. Heeger,1/22/1936,Male,Chemistry, for the discovery and development of conductive polymers ,United States of America,University of California,"Santa Barbara, CA, United States of America"
2000,Hideki Shirakawa,8/20/1936,Male,Chemistry, for the discovery and development of conductive polymers ,Japan,University of Tsukuba,"Tokyo, Japan"
1999,Ahmed H. Zewail,2/26/1946,Male,Chemistry, for his studies of the transition states of chemical reactions using femtosecond spectroscopy ,Egypt,California Institute of Technology (Caltech),"Pasadena, CA, United States of America"
1998,John A. Pople,10/31/1925,Male,Chemistry, for his development of computational methods in quantum chemistry ,United Kingdom,Northwestern University,"Evanston, IL, United States of America"
1998,Walter Kohn,9/3/1923,Male,Chemistry, for his development of the density-functional theory ,Austria,University of California,"Santa Barbara, CA, United States of America"
1997,Jens C. Skou,8/10/1918,Male,Chemistry," for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase ",Denmark,Aarhus University,"Aarhus, Denmark"
1997,John E. Walker,7/1/1941,Male,Chemistry, for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) ,United Kingdom,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
1997,Paul D. Boyer,7/31/1918,Male,Chemistry, for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP) ,United States of America,University of California,"Los Angeles, CA, United States of America"
1996,Richard E. Smalley,6/6/1943,Male,Chemistry, for their discovery of fullerenes ,United States of America,Rice University,"Houston, TX, United States of America"
1996,Robert F. Curl Jr.,8/23/1933,Male,Chemistry, for their discovery of fullerenes ,United States of America,Rice University,"Houston, TX, United States of America"
1996,Sir Harold W. Kroto,7/10/1939,Male,Chemistry, for their discovery of fullerenes ,United Kingdom,University of Sussex,"Brighton, United Kingdom"
1995,F. Sherwood Rowland,6/28/1927,Male,Chemistry," for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone ",United States of America,University of California,"Irvine, CA, United States of America"
1995,Mario J. Molina,3/19/1943,Male,Chemistry," for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone ",Mexico,Massachusetts Institute of Technology (MIT),"Cambridge, MA, United States of America"
1995,Paul J. Crutzen,3/12/1933,Male,Chemistry," for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone ",Netherlands,Max-Planck-Institut,"Mainz, Germany"
1994,George A. Olah,5/22/1927,Male,Chemistry, for his contribution to carbocation chemistry ,Hungary,University of Southern California,"Los Angeles, CA, United States of America"
1993,Kary B. Mullis,12/28/1944,Male,Chemistry, for contributions to the developments of methods within DNA-based chemistry; for his invention of the polymerase chain reaction (PCR) method ,United States of America,,"La Jolla, CA, United States of America"
1993,Michael Smith,4/26/1932,Male,Chemistry," for contributions to the developments of methods within DNA-based chemistry; for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies ",United Kingdom,University of British Columbia,"Vancouver, Canada"
1992,Rudolph A. Marcus,7/21/1923,Male,Chemistry, for his contributions to the theory of electron transfer reactions in chemical systems ,Canada,California Institute of Technology (Caltech),"Pasadena, CA, United States of America"
1991,Richard R. Ernst,8/14/1933,Male,Chemistry, for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy ,Switzerland,Eidgenâˆšâˆ‚ssische Technische Hochschule (Swiss Federal Institute of Technology),"Zurich, Switzerland"
1990,Elias James Corey,12/7/1928,Male,Chemistry, for his development of the theory and methodology of organic synthesis ,United States of America,Harvard University,"Cambridge, MA, United States of America"
1989,Sidney Altman,7/5/1939,Male,Chemistry, for their discovery of catalytic properties of RNA ,Canada,Yale University,"New Haven, CT, United States of America"
1989,Thomas R. Cech,8/12/1947,Male,Chemistry, for their discovery of catalytic properties of RNA ,United States of America,University of Colorado,"Boulder, CO, United States of America"
1988,Hartmut Michel,7/18/1948,Male,Chemistry, for the determination of the three-dimensional structure of a photosynthetic reaction centre ,Germany,Max-Planck-Institut,"Frankfurt-on-the-Main, Germany"
1988,Johann Deisenhofer,9/30/1943,Male,Chemistry, for the determination of the three-dimensional structure of a photosynthetic reaction centre ,Germany,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX, United States of America"
1988,Robert Huber,2/20/1937,Male,Chemistry, for the determination of the three-dimensional structure of a photosynthetic reaction centre ,Germany,Max-Planck-Institut,"Martinsried, Germany"
1987,Charles J. Pedersen,3/10/1904,Male,Chemistry, for their development and use of molecules with structure-specific interactions of high selectivity ,Korea (South Korea),Du Pont,"Wilmington, DE, United States of America"
1987,Donald J. Cram,4/22/1919,Male,Chemistry, for their development and use of molecules with structure-specific interactions of high selectivity ,United States of America,University of California,"Los Angeles, CA, United States of America"
1987,Jean-Marie Lehn,9/30/1939,Male,Chemistry, for their development and use of molecules with structure-specific interactions of high selectivity ,France,UniversitâˆšÂ© Louis Pasteur,"Strasbourg, France"
1986,Dudley R. Herschbach,6/18/1932,Male,Chemistry, for their contributions concerning the dynamics of chemical elementary processes ,United States of America,Harvard University,"Cambridge, MA, United States of America"
1986,John C. Polanyi,1/23/1929,Male,Chemistry, for their contributions concerning the dynamics of chemical elementary processes ,Germany,University of Toronto,"Toronto, Canada"
1986,Yuan T. Lee,11/19/1936,Male,Chemistry, for their contributions concerning the dynamics of chemical elementary processes ,Taiwan,University of California,"Berkeley, CA, United States of America"
1985,Herbert A. Hauptman,2/14/1917,Male,Chemistry, for their outstanding achievements in the development of direct methods for the determination of crystal structures ,United States of America,The Medical Foundation of Buffalo,"Buffalo, NY, United States of America"
1985,Jerome Karle,6/18/1918,Male,Chemistry, for their outstanding achievements in the development of direct methods for the determination of crystal structures ,United States of America,US Naval Research Laboratory,"Washington, DC, United States of America"
1984,Robert Bruce Merrifield,7/15/1921,Male,Chemistry, for his development of methodology for chemical synthesis on a solid matrix ,United States of America,Rockefeller University,"New York, NY, United States of America"
1983,Henry Taube,11/30/1915,Male,Chemistry," for his work on the mechanisms of electron transfer reactions, especially in metal complexes ",Canada,Stanford University,"Stanford, CA, United States of America"
1982,Aaron Klug,11/8/1926,Male,Chemistry, for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes ,Lithuania,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
1981,Kenichi Fukui,4/10/1918,Male,Chemistry," for their theories, developed independently, concerning the course of chemical reactions ",Japan,Kyoto University,"Kyoto, Japan"
1981,Roald Hoffmann,7/18/1937,Male,Chemistry," for their theories, developed independently, concerning the course of chemical reactions ",Ukraine,Cornell University,"Ithaca, NY, United States of America"
1980,Frederick Sanger,8/13/1918,Male,Chemistry, for their contributions concerning the determination of base sequences in nucleic acids ,United Kingdom,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
1980,Paul Berg,6/30/1926,Male,Chemistry," for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA ",United States of America,Stanford University,"Stanford, CA, United States of America"
1980,Walter Gilbert,3/21/1932,Male,Chemistry, for their contributions concerning the determination of base sequences in nucleic acids ,United States of America,Harvard University,"Cambridge, MA, United States of America"
1979,Georg Wittig,1897/06/16,Male,Chemistry," for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis ",Germany,University of Heidelberg,"Heidelberg, Germany"
1979,Herbert C. Brown,5/22/1912,Male,Chemistry," for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis ",United Kingdom,Purdue University,"West Lafayette, IN, United States of America"
1978,Peter D. Mitchell,9/29/1920,Male,Chemistry, for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory ,United Kingdom,Glynn Research Laboratories,"Bodmin, United Kingdom"
1977,Ilya Prigogine,1/25/1917,Male,Chemistry," for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures ",Russia,UniversitâˆšÂ© Libre de Bruxelles,"Brussels, Belgium"
1976,William N. Lipscomb,9/12/1919,Male,Chemistry, for his studies on the structure of boranes illuminating problems of chemical bonding ,United States of America,Harvard University,"Cambridge, MA, United States of America"
1975,John Warcup Cornforth,7/9/1917,Male,Chemistry, for his work on the stereochemistry of enzyme-catalyzed reactions ,Australia,University of Sussex,"Brighton, United Kingdom"
1975,Vladimir Prelog,7/23/1906,Male,Chemistry, for his research into the stereochemistry of organic molecules and reactions ,Bosnia and Herzegovina,Eidgenâˆšâˆ‚ssische Technische Hochschule (Swiss Federal Institute of Technology),"Zurich, Switzerland"
1974,Paul J. Flory,6/19/1910,Male,Chemistry," for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules ",United States of America,Stanford University,"Stanford, CA, United States of America"
1973,Ernst Otto Fischer,10/11/1918,Male,Chemistry," for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds ",Germany,Technical University,"Munich, Germany"
1973,Geoffrey Wilkinson,7/14/1921,Male,Chemistry," for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds ",United Kingdom,Imperial College,"London, United Kingdom"
1972,Christian B. Anfinsen,3/26/1916,Male,Chemistry," for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation ",United States of America,National Institutes of Health,"Bethesda, MD, United States of America"
1972,Stanford Moore,4/9/1913,Male,Chemistry, for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule ,United States of America,Rockefeller University,"New York, NY, United States of America"
1972,William H. Stein,6/25/1911,Male,Chemistry, for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule ,United States of America,Rockefeller University,"New York, NY, United States of America"
1971,Gerhard Herzberg,12/25/1904,Male,Chemistry," for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals ",Germany,National Research Council of Canada,"Ottawa, Canada"
1970,Luis F. Leloir,6/9/1906,Male,Chemistry, for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates ,France,Institute for Biochemical Research,"Buenos Aires, Argentina"
1969,Derek H. R. Barton,8/9/1918,Male,Chemistry, for their contributions to the development of the concept of conformation and its application in chemistry ,United Kingdom,Imperial College,"London, United Kingdom"
1969,Odd Hassel,1897/05/17,Male,Chemistry, for their contributions to the development of the concept of conformation and its application in chemistry ,Norway,University of Oslo,"Oslo, Norway"
1968,Lars Onsager,11/27/1903,Male,Chemistry," for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes ",Norway,Yale University,"New Haven, CT, United States of America"
1967,George Porter,6/12/1920,Male,Chemistry," for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy ",United Kingdom,Royal Institution of Great Britain,"London, United Kingdom"
1967,Manfred Eigen,9/5/1927,Male,Chemistry," for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy ",Germany,Max-Planck-Institut,"Gâˆšâˆ‚ttingen, Germany"
1967,Ronald George Wreyford Norrish,1897/11/09,Male,Chemistry," for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy ",United Kingdom,Institute of Physical Chemistry,"Cambridge, United Kingdom"
1966,Robert S. Mulliken,1896/06/07,Male,Chemistry, for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method ,United States of America,University of Chicago,"Chicago, IL, United States of America"
1965,Robert Burns Woodward,10/4/1917,Male,Chemistry, for his outstanding achievements in the art of organic synthesis ,United States of America,Harvard University,"Cambridge, MA, United States of America"
1964,Dorothy Crowfoot Hodgkin,12/5/1910,Female,Chemistry, for her determinations by X-ray techniques of the structures of important biochemical substances ,Egypt,University of Oxford,"Oxford, United Kingdom"
1963,Giulio Natta,2/26/1903,Male,Chemistry, for their discoveries in the field of the chemistry and technology of high polymers ,Italy,Institute of Technology,"Milan, Italy"
1963,Karl Ziegler,1898/11/26,Male,Chemistry, for their discoveries in the field of the chemistry and technology of high polymers ,Germany,Max-Planck-Institut,"MâˆšÂºlheim/Ruhr, Germany"
1962,John Cowdery Kendrew,3/24/1917,Male,Chemistry, for their studies of the structures of globular proteins ,United Kingdom,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
1962,Max Ferdinand Perutz,5/19/1914,Male,Chemistry, for their studies of the structures of globular proteins ,Austria,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
1961,Melvin Calvin,8/4/1911,Male,Chemistry, for his research on the carbon dioxide assimilation in plants ,United States of America,University of California,"Berkeley, CA, United States of America"
1960,Willard Frank Libby,12/17/1908,Male,Chemistry," for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science ",United States of America,University of California,"Los Angeles, CA, United States of America"
1959,Jaroslav Heyrovsky,1890/12/20,Male,Chemistry, for his discovery and development of the polarographic methods of analysis ,Czech Republic,Polarographic Institute of the Czechoslovak Academy of Science,"Prague, Czech Republic"
1958,Frederick Sanger,8/13/1918,Male,Chemistry," for his work on the structure of proteins, especially that of insulin ",United Kingdom,University of Cambridge,"Cambridge, United Kingdom"
1957,Lord (Alexander R.) Todd,2/10/1907,Male,Chemistry, for his work on nucleotides and nucleotide co-enzymes ,United Kingdom,University of Cambridge,"Cambridge, United Kingdom"
1956,Nikolay Nikolaevich Semenov,1896/04/03,Male,Chemistry, for their researches into the mechanism of chemical reactions ,Russia,Institute for Chemical Physics of the Academy of Sciences of the USSR,"Moscow, Russia"
1956,Sir Cyril Norman Hinshelwood,1897/05/19,Male,Chemistry, for their researches into the mechanism of chemical reactions ,United Kingdom,University of Oxford,"Oxford, United Kingdom"
1955,Vincent du Vigneaud,5/18/1901,Male,Chemistry," for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone ",United States of America,Cornell University,"Ithaca, NY, United States of America"
1954,Linus Carl Pauling,2/28/1901,Male,Chemistry, for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances ,United States of America,California Institute of Technology (Caltech),"Pasadena, CA, United States of America"
1953,Hermann Staudinger,1881/03/23,Male,Chemistry, for his discoveries in the field of macromolecular chemistry ,Germany,University of Freiburg,"Breisgau, Germany"
1952,Archer John Porter Martin,1/3/1910,Male,Chemistry, for their invention of partition chromatography ,United Kingdom,National Institute for Medical Research,"London, United Kingdom"
1952,Richard Laurence Millington Synge,10/28/1914,Male,Chemistry, for their invention of partition chromatography ,United Kingdom,Rowett Research Institute,"Bucksburn (Scotland), United Kingdom"
1951,Edwin Mattison McMillan,9/18/1907,Male,Chemistry, for their discoveries in the chemistry of the transuranium elements ,United States of America,University of California,"Berkeley, CA, United States of America"
1951,Glenn Theodore Seaborg,4/19/1912,Male,Chemistry, for their discoveries in the chemistry of the transuranium elements ,United States of America,University of California,"Berkeley, CA, United States of America"
1950,Kurt Alder,10/7/1902,Male,Chemistry, for their discovery and development of the diene synthesis ,Poland,Cologne University,"Cologne, Germany"
1950,Otto Paul Hermann Diels,1876/01/23,Male,Chemistry, for their discovery and development of the diene synthesis ,Germany,Kiel University,"Kiel, Germany"
1949,William Francis Giauque,1895/05/12,Male,Chemistry," for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures ",Canada,University of California,"Berkeley, CA, United States of America"
1948,Arne Wilhelm Kaurin Tiselius,10/8/1902,Male,Chemistry," for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins ",Sweden,Uppsala University,"Uppsala, Sweden"
1947,Sir Robert Robinson,1886/09/13,Male,Chemistry," for his investigations on plant products of biological importance, especially the alkaloids ",United Kingdom,University of Oxford,"Oxford, United Kingdom"
1946,James Batcheller Sumner,1887/11/19,Male,Chemistry, for his discovery that enzymes can be crystallized ,United States of America,Cornell University,"Ithaca, NY, United States of America"
1946,John Howard Northrop,1891/07/05,Male,Chemistry, for their preparation of enzymes and virus proteins in a pure form ,United States of America,Rockefeller Institute for Medical Research,"Princeton, NJ, United States of America"
1946,Wendell Meredith Stanley,8/16/1904,Male,Chemistry, for their preparation of enzymes and virus proteins in a pure form ,United States of America,Rockefeller Institute for Medical Research,"Princeton, NJ, United States of America"
1945,Artturi Ilmari Virtanen,1895/01/15,Male,Chemistry," for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method ",Finland,University of Helsinki,"Helsinki, Finland"
1944,Otto Hahn,1879/03/08,Male,Chemistry, for his discovery of the fission of heavy nuclei ,Germany,Max-Planck Institut,"Berlin-Dahlem, Germany"
1943,George de Hevesy,1885/08/01,Male,Chemistry, for his work on the use of isotopes as tracers in the study of chemical processes ,Hungary,Stockholm University,"Stockholm, Sweden"
1939,Adolf Friedrich Johann Butenandt,3/24/1903,Male,Chemistry, for his work on sex hormones ,Germany,Max-Planck Institut,"Berlin-Dahlem, Germany"
1939,Leopold Ruzicka,1887/09/13,Male,Chemistry, for his work on polymethylenes and higher terpenes ,Croatia,Eidgenâˆšâˆ‚ssische Technische Hochschule (Swiss Federal Institute of Technology),"Zurich, Switzerland"
1938,Richard Kuhn,3/12/1900,Male,Chemistry, for his work on carotenoids and vitamins ,Austria,Max-Planck Institut,"Heidelberg, Germany"
1937,Paul Karrer,1889/04/21,Male,Chemistry," for his investigations on carotenoids, flavins and vitamins A and B2 ",Russia,University of Zurich,"Zurich, Switzerland"
1937,Walter Norman Haworth,1883/03/19,Male,Chemistry, for his investigations on carbohydrates and vitamin C ,United Kingdom,Birmingham University,"Birmingham, United Kingdom"
1936,Petrus (Peter) Josephus Wilhelmus Debye,1884/03/24,Male,Chemistry, for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases ,Netherlands,Berlin University,"Berlin, Germany"
1935,FrâˆšÂ©dâˆšÂ©ric Joliot,3/19/1900,Male,Chemistry, in recognition of their synthesis of new radioactive elements ,France,Institut du Radium,"Paris, France"
1935,IrâˆšÂ®ne Joliot-Curie,1897/09/12,Female,Chemistry, in recognition of their synthesis of new radioactive elements ,France,Institut du Radium,"Paris, France"
1934,Harold Clayton Urey,1893/04/29,Male,Chemistry, for his discovery of heavy hydrogen ,United States of America,Columbia University,"New York, NY, United States of America"
1932,Irving Langmuir,1881/01/31,Male,Chemistry, for his discoveries and investigations in surface chemistry ,United States of America,General Electric Company,"Schenectady, NY, United States of America"
1931,Carl Bosch,1874/08/27,Male,Chemistry, in recognition of their contributions to the invention and development of chemical high pressure methods ,Germany,University of Heidelberg,"Heidelberg, Germany"
1931,Friedrich Bergius,1884/10/11,Male,Chemistry, in recognition of their contributions to the invention and development of chemical high pressure methods ,Poland,University of Heidelberg,"Heidelberg, Germany"
1930,Hans Fischer,1881/07/27,Male,Chemistry, for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin ,Germany,Technische Hochschule (Institute of Technology),"Munich, Germany"
1929,Arthur Harden,1865/10/12,Male,Chemistry, for their investigations on the fermentation of sugar and fermentative enzymes ,United Kingdom,London University,"London, United Kingdom"
1929,Hans Karl August Simon von Euler-Chelpin,1873/02/15,Male,Chemistry, for their investigations on the fermentation of sugar and fermentative enzymes ,Germany,Stockholm University,"Stockholm, Sweden"
